Artist Name,Spotify ID,Spotify URL,Market
Vinod Rathod,1gHVDWrG6hVra3ZxV7mQWd,https://open.spotify.com/artist/1gHVDWrG6hVra3ZxV7mQWd,IN
Mohammed Aziz,3vXBH4XwXSLM1YIrRBt98k,https://open.spotify.com/artist/3vXBH4XwXSLM1YIrRBt98k,IN
Nadeem Shravan,0xHXoShMJw3xDArjL8IHtt,https://open.spotify.com/artist/0xHXoShMJw3xDArjL8IHtt,IN
Karan Aujla,6DARBhWbfcS9E4yJzcliqQ,https://open.spotify.com/artist/6DARBhWbfcS9E4yJzcliqQ,IN
Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,https://open.spotify.com/artist/2FKWNmZWDBZR4dE5KX4plR,IN
Sidhu Moose Wala,4PULA4EFzYTrxYvOVlwpiQ,https://open.spotify.com/artist/4PULA4EFzYTrxYvOVlwpiQ,IN
Shubh,5r3wPya2PpeTTsXsGhQU8O,https://open.spotify.com/artist/5r3wPya2PpeTTsXsGhQU8O,IN
AP Dhillon,6LEG9Ld1aLImEFEVHdWNSB,https://open.spotify.com/artist/6LEG9Ld1aLImEFEVHdWNSB,IN
Jasmine Sandlas,0mJDQBWytBhOh5JB1DOQ1c,https://open.spotify.com/artist/0mJDQBWytBhOh5JB1DOQ1c,IN
Cheema Y,0uOUeC51AxGnP6hB8gurwt,https://open.spotify.com/artist/0uOUeC51AxGnP6hB8gurwt,IN
Panjabi MC,74D1UgRzMhTSPz698exXmR,https://open.spotify.com/artist/74D1UgRzMhTSPz698exXmR,IN
Gur Sidhu,0QntOArZgiNHoemAzwJPu5,https://open.spotify.com/artist/0QntOArZgiNHoemAzwJPu5,IN
Raju Punjabi,5RnjdaS0Pqb4KgWvCoohs8,https://open.spotify.com/artist/5RnjdaS0Pqb4KgWvCoohs8,IN
DIVINE,4Ai0pGz6GhQavjzaRhPTvz,https://open.spotify.com/artist/4Ai0pGz6GhQavjzaRhPTvz,IN
Garry Sandhu,7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,IN
Jasmeen Akhtar,26Nqjj62IAXWZJptGopt9C,https://open.spotify.com/artist/26Nqjj62IAXWZJptGopt9C,IN
Saabi Bhinder,7balJhYEvDHAshA39peuCr,https://open.spotify.com/artist/7balJhYEvDHAshA39peuCr,IN
Gurinder Gill,5DHi2MeoRgAwPE0A0qwRMl,https://open.spotify.com/artist/5DHi2MeoRgAwPE0A0qwRMl,IN
Jyotica Tangri,5wQDQFm7Ku8WWGi5xqJ9lp,https://open.spotify.com/artist/5wQDQFm7Ku8WWGi5xqJ9lp,IN
Gill Machhrai,4r4r2gGaA74pul0n6FiRsE,https://open.spotify.com/artist/4r4r2gGaA74pul0n6FiRsE,IN
Bombay Rockers,1bLQBuSop3ekE5Qustj5nP,https://open.spotify.com/artist/1bLQBuSop3ekE5Qustj5nP,IN
Harshdeep Kaur,3xU8YsNNkmWSPewlB18NUz,https://open.spotify.com/artist/3xU8YsNNkmWSPewlB18NUz,IN
Sachin Gupta,34R6DQd8ErBy1xyOyMHFrq,https://open.spotify.com/artist/34R6DQd8ErBy1xyOyMHFrq,IN
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O,IN
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG,IN
Sid Sriram,7qjJw7ZM2ekDSahLXPjIlN,https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN,IN
Sai Abhyankkar,5jJrJU7VVmxQQLcLAmmxXc,https://open.spotify.com/artist/5jJrJU7VVmxQQLcLAmmxXc,IN
